DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Part Status,Function,Output Configuration,Topology,Output Type,Number of Outputs,Voltage - Input (Min),Voltage - Input (Max),Voltage - Output (Min/Fixed),Voltage - Output (Max),Current - Output,Frequency - Switching,Synchronous Rectifier,Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
LTC3407EDD-3#PBF-ND,LTC3407EDD-3#PBF,Analog Devices Inc.,Analog Devices Inc.,IC REG BUCK 1.8V/3.3V 10DFN,274,7.92,0,1,Tube,-,Active,Step-Down,Positive,Buck,Fixed,2,3.3V,5.5V,"1.8V, 3.3V",-,800mA,2.25MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,10-WFDFN Exposed Pad,10-DFN (3x3)
"576-2974-2-ND,576-2974-1-ND,576-2974-6-ND",MIC23050-GYML-TR,Microchip Technology,Microchip Technology,IC REG BUCK 1.8V 600MA 8MLF,"6,761",0.48,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",HyperLight Load®,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,1.8V,-,600mA,4MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"8-VFDFN Exposed Pad, 8-MLF®",8-MLF® (2x2)
"497-6905-2-ND,497-6905-1-ND,497-6905-6-ND",ST1S12G12R,STMicroelectronics,STMicroelectronics,IC REG BUCK 1.2V 700MA TSOT23-5,"3,000",1.11,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,5.5V,1.2V,-,700mA,1.7MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,"SOT-23-5 Thin, TSOT-23-5",TSOT-23-5
"893-1307-2-ND,893-1307-1-ND,893-1307-6-ND",XC9265A331MR-G,Torex Semiconductor Ltd,Torex Semiconductor Ltd,IC REG BUCK 3.3V 200MA SOT25-5,"10,098",1.53,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2V,6V,3.3V,-,200mA,-,Yes,-40°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-25-5
"296-46389-2-ND,296-46389-1-ND,296-46389-6-ND",TPS62205DBVR,Texas Instruments,Texas Instruments,IC REG BUCK 2.5V 300MA SOT23-5,"4,183",1.46,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,6V,2.5V,-,300mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"296-40185-2-ND,296-40185-1-ND,296-40185-6-ND",LM3281YFQR,Texas Instruments,Texas Instruments,IC REG BUCK 3.3V 1.2A 6DSBGA,"5,708",1.69,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,3V,5.5V,3.3V,-,1.2A,6MHz,Yes,-30°C ~ 90°C (TA),Surface Mount,"6-WFBGA, DSBGA",6-DSBGA
"LM3671MF-2.8/NOPBTR-ND,LM3671MF-2.8/NOPBCT-ND,LM3671MF-2.8/NOPBDKR-ND",LM3671MF-2.8/NOPB,Texas Instruments,Texas Instruments,IC REG BUCK 2.8V 600MA SOT23-5,"7,444",1.74,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.7V,5.5V,2.8V,-,600mA,2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"296-25627-2-ND,296-25627-1-ND,296-25627-6-ND",TPS622311DRYT,Texas Instruments,Texas Instruments,IC REG BUCK 1.1V 500MA 6SON,"1,301",1.61,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.05V,6V,1.1V,-,500mA,2MHz,Yes,-40°C ~ 125°C (TJ),Surface Mount,6-UFDFN,6-SON (1.45x1)
"296-12718-2-ND,296-12718-1-ND,296-12718-6-ND",TPS62202DBVT,Texas Instruments,Texas Instruments,IC REG BUCK 1.8V 300MA SOT23-5,"1,975",1.75,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,2.5V,6V,1.8V,-,300mA,1MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"SC-74A, SOT-753",SOT-23-5
"497-18334-2-ND,497-18334-1-ND,497-18334-6-ND",ST1PS01EJR,STMicroelectronics,STMicroelectronics,IC REG BUCK 8FLIPCHIP,"9,530",2.06,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,Step-Down,Positive,Buck,Fixed,1,1.8V,5.5V,"1.8V, 2.7V, 3V, 3.3V",-,400mA,2MHz,Yes,-40°C ~ 85°C (TA),Surface Mount,"8-UFBGA, FCBGA",8-FlipChip (1.11x1.41)
